Author,final_sentiment
@DDUBI_JJUNIE,SAMSUNG
@DDal_Yong,unknown
@DGIGa_GB,SAMSUNG
@DHWID-123,SAMSUNG
@DHanggu,KIA
@DJK-cf1ti,unknown
@DJ차니,KIA
@DKlee-df2fr,SAMSUNG
@DOER-x7w,SAMSUNG
@DOGOIL-i3b,SAMSUNG
@DOYIG5,KIA
@DSJ-y2z,unknown
@DaHaeJotZaNa,unknown
@Dackdagoori,KIA
@DaeroLee_Solid_Aerospace,KIA
@DalasYoo,SAMSUNG
@DaleMaisie,unknown
@Damon_1977,KIA
@Danbari-r5c,unknown
@DanielsBedWarsEat,SAMSUNG
@Danwoon-e3t,SAMSUNG
@David-bf8dn,SAMSUNG
@DavidLee-zv5sp,KIA
@Dawn-u4t,KIA
@Dawnhnyy,SAMSUNG
@Daze-ew6xj,unknown
@Dbongcha,KIA
@Ddaknndnd,KIA
@Ddu_ry,KIA
@DeadMan_10004,KIA
@Decan_22,SAMSUNG
@Dehj-v1e,SAMSUNG
@DekapanRenjana,SAMSUNG
@Del123-i1r,SAMSUNG
@Denise_Kim,KIA
@Deokiii-j9c,unknown
@Dev-1uca-l,unknown
@Dh-cs1sv,SAMSUNG
@Dheer_thakur-123,unknown
@Dhehwjwb,SAMSUNG
@Dhrbeg,KIA
@Diana-n3trevi2,KIA
@Ding-Ding.,SAMSUNG
@Dingk9923,SAMSUNG
@DirHYRO,SAMSUNG
@DiscordKR,unknown
@Ditto-xe2wq,unknown
@DkdnYg,SAMSUNG
@Dkg-s8,KIA
@Dkjdkfjdncdocis,KIA
@DksnsZkms,KIA
@Dkz1777,SAMSUNG
@DlFl_DOG,KIA
@DlLIS2,SAMSUNG
@Do-U-Neo,SAMSUNG
@DoYoonJi,unknown
@Do_ruuuung,SAMSUNG
@Doddo700,unknown
@Dodoeokkdklwqllw,SAMSUNG
@Dokyong_KIAFAN,KIA
@DonggunLee-oq7dc,KIA
@Dongle7Melody,KIA
@Dorong22,unknown
@Doyou-p6u,KIA
@Dreamerwon,KIA
@DreamingPigHongdon,unknown
@DsC-g4x,KIA
@DuRuMi-DHK,unknown
@Dugout_today,unknown
@Durrahhh_Amaniii,SAMSUNG
@Dzbnqwevgy,SAMSUNG
@E-nuk,KIA
@E.세베나드,KIA
@EARTH2archive4,KIA
@EBC123,unknown
@EEE-el9sy,SAMSUNG
@EH-fj9pp,unknown
@EJ-re9uy,SAMSUNG
